folio,folio_agencia,referencia,auth,reserva,vendedor,concepto,pago_directo,pago_proveedor,pago_file,fecha,fecha_registro,cuenta_proceso,usuario_proceso,fecha_proceso,hora_proceso,monto,moneda,tipo_cambio,monto_recibido,cliente,forma_pago,banco,tarjeta,observaciones,serie_factura,folio_factura,cancelado,fecha_cancelacion,usuario_cancela,motivo_cancelacion,enviado,tiene_anexo,monedero,monto_monedero,folio_monedero,paypal,conekta,webpay,pol_vigencia,link_pago,pol_intento,pol_pagado,pol_fecha_pago,pol_codigo_auth,pol_tarjeta,pol_detalle_pago,pol_notas,pol_correo_enviado,token_pago
1318879,11,"COBRADO - CIBANCO MXN",,9,DianaM,"Pago de servicios",0,0,0,2024-10-08,2024-10-08,X40DP1R7,PabloE,2025-03-20,07:54,11450.38,MXN,19.65,225000.00,373952,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1319310,12,"COBRADO - EFECTIVO",,8,DianaM,"Abono al viaje para pagos de hotel",0,0,0,2024-10-08,2024-10-08,X40DP1R7,AriadnaR,2024-10-25,01:12,1935.48,MXN,21.70,42000.00,373588,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1319468,13,"COBRADO - EFECTIVO",,8,DianaM,"Pago de servicios",0,0,0,2024-10-08,2024-10-08,X40DP1R7,AriadnaR,2024-10-25,01:12,1382.49,MXN,21.70,30000.00,373588,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1321230,14,"COBRADO - SQUARE",,12,DianaM,"Traslados en Austria",0,0,0,2024-10-15,2024-10-11,80W66F5A,AriadnaR,2024-12-04,17:17,54.63,USD,21.60,1180.00,370757,0R2,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1321439,15,"COBRADO - CIBANCO MXN",,13,DianaM,"Pago de estancia",0,0,0,2024-10-11,2024-10-11,X40DP1R7,PabloE,2025-03-20,07:58,6490.08,MXN,19.65,127530.00,374545,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1322815,16,"COBRADO - CIBANCO MXN",,10,DianaM,"Pago Aéreos",0,0,0,2024-10-14,2024-10-14,X40DP1R7,PabloE,2025-03-20,07:57,2303.06,MXN,19.60,45140.00,374194,HHW,,,,,0,1,2025-05-14,SalvadorR,"se sustituye por RC470",0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1326970,17,"COBRADO - CHASE",,14,DianaM,"Depósito requerido del 30%",0,0,0,2024-10-17,2024-10-18,80W66F5A,AriadnaR,2025-01-21,09:11,19000.00,USD,1.00,19000.00,375699,HHW,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1330996,18,"COBRADO - CIBANCO MXN",,16,DianaM,"Pago de boletos aéreos Sergio Berger y Andres Carretero",0,0,0,2024-10-23,2024-10-23,X40DP1R7,PabloE,2025-03-20,08:00,995.00,MXN,20.20,20099.00,374194,HHW,,,,,0,1,2025-05-14,SalvadorR,"PAGO PERTENECE AL FOLIO 11",0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1332241,19,"COBRADO - CIBANCO USD",,7,DianaM,"Pago de boletos aéreos Guillermo Gonzalez ",0,0,0,2024-10-25,2024-10-25,33619SV9,AriadnaR,2024-10-25,15:19,9573.91,USD,0.92,8808.00,372712,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1332465,20,"COBRADO - CIBANCO EUR",,7,DianaM,"Pago de viaje",0,0,0,2024-10-25,2024-10-25,6L931A9I,AriadnaR,2024-10-25,15:11,14688.00,EUR,1.00,14688.00,372712,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1332467,21,"COBRADO - CIBANCO EUR",,7,DianaM,"Pago de viaje",0,0,0,2024-10-25,2024-10-25,4WUD0O0Y,AriadnaR,2024-10-25,15:17,16900.00,EUR,1.00,16900.00,372712,HHW,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1334430,22,"COBRADO - CIBANCO MXN",,18,DianaM,"Pago de boletos aéreos Yulia",0,0,0,2024-10-29,2024-10-29,X40DP1R7,PabloE,2025-03-20,08:04,14493.36,MXN,20.10,291316.50,376993,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1336029,23,"COBRADO - CIBANCO MXN",,21,DianaM,"Pago viaje",0,0,0,2024-10-28,2024-10-31,X40DP1R7,AriadnaR,2025-06-05,22:11,9852.22,MXN,20.30,200000.00,373588,EFE,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1337312,24,"COBRADO - CIBANCO MXN",,23,DianaM,"Pago de estancia Mariano Franco",0,0,0,2024-10-31,2024-11-01,X40DP1R7,AriadnaR,2024-11-11,12:33,6357.14,MXN,22.40,142400.00,378031,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1339981,25,"COBRADO - WISE EUR",,25,DianaM,"Pago de servicios para VIP Incoming",0,0,0,2024-11-06,2024-11-05,6L931A9I,AriadnaR,2024-12-03,18:01,3250.00,EUR,1.00,3250.00,370757,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1340961,26,"COBRADO - CIBANCO MXN",,26,DianaM,"Boletos de avión",0,0,0,2024-11-06,2024-11-06,X40DP1R7,AriadnaR,2024-11-08,13:38,3340.39,MXN,20.35,67977.00,378596,EFE,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1340983,27,,,30,LorenzaP,"Pago de hospedaje y tours ",0,0,0,2024-08-27,2024-11-06,A7GG8C8Y,SalvadorR,2025-05-16,13:40,8563.26,EUR,1.00,8563.26,370682,4E2,,,"Pago directo a N2S con tarjeta Amex  del cliente",,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1341142,28,"COBRADO - CIBANCO MXN",,31,LuciaS,"Anticipo de servicios",0,0,0,2024-10-28,2024-11-06,X40DP1R7,AriadnaR,2024-11-11,12:36,13544.02,MXN,22.15,300000.00,377586,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1341143,29,"COBRADO - CIBANCO MXN",,31,LuciaS,"segundo pago",0,0,0,2024-10-31,2024-11-06,X40DP1R7,AriadnaR,2024-11-11,12:36,7820.22,MXN,22.25,174000.00,377586,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1341145,30,"COBRADO - CIBANCO MXN",,31,LuciaS,"tercer pago ",0,0,0,2024-10-31,2024-11-06,X40DP1R7,AriadnaR,2024-11-11,12:37,223.21,MXN,22.40,5000.00,377586,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1342522,31,"COBRADO - CIBANCO EUR",,7,DianaM,"Pago ",0,0,0,2024-11-07,2024-11-08,4WUD0O0Y,AriadnaR,2024-11-11,12:52,1775.00,EUR,1.00,1775.00,372712,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1342830,32,"COBRADO - CIBANCO MXN",,27,DianaM,"Pago The Mark y aéreos",0,0,0,2024-11-08,2024-11-08,X40DP1R7,AriadnaR,2024-11-08,14:04,8157.25,MXN,20.35,166000.00,378589,HHW,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1343105,33,"COBRADO - CIBANCO MXN",,33,DianaM,"Pago de vuelos",0,0,0,2024-11-08,2024-11-08,X40DP1R7,AriadnaR,2024-11-11,12:46,21621.62,MXN,20.35,440000.00,378993,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1344002,34,"COBRADO - CIBANCO MXN",,32,DianaM,"Pago de hotel The Surrey",0,0,0,2024-11-11,2024-11-11,X40DP1R7,AriadnaR,2024-11-11,12:44,15253.98,MXN,20.75,316520.00,378817,EFE,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1346044,35,"COBRADO - STRIPE",,34,DianaM,"Pago de servicios",0,0,0,2024-11-14,2024-11-13,80W66F5A,AriadnaR,2024-12-03,18:25,6000.00,USD,1.00,6000.00,377396,8W0,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1346045,36,"COBRADO - STRIPE",,34,DianaM,"Pago de servicios",0,0,0,2024-11-14,2024-11-13,80W66F5A,AriadnaR,2024-12-03,18:25,6168.00,USD,1.00,6168.00,377396,8W0,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1346710,37,,,35,DianaM,"Estancia Hotel Surrey",0,0,0,2024-11-13,2024-11-13,,,0000-00-00,,11333.00,USD,1.00,11333.00,373588,HHW,,,,,0,1,2024-11-14,AriadnaR,"SE SUSTITUYE POR EL RECIBO 38 - AR",0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1347109,38,"COBRADO - CIBANCO MXN",,35,AriadnaR,"Estancia Hotel Surrey",0,0,0,2024-11-13,2024-11-14,X40DP1R7,AriadnaR,2024-11-14,12:21,11990.41,MXN,20.85,250000.00,373588,EFE,,,"SUSTITUYE AL RECIBO No. 37",,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1347381,39,"COBRADO - CIBANCO MXN",,37,DianaM,"Pago de vuelos y hospedaje",0,0,0,2024-11-14,2024-11-14,X40DP1R7,AriadnaR,2024-12-03,18:09,9836.93,MXN,20.85,205100.00,379980,EFE,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1348637,40,"COBRADO - CIBANCO EUR",,7,DianaM,"Hospedaje Le Bristol Gonzalez",0,0,0,2024-11-19,2024-11-15,4WUD0O0Y,AriadnaR,2024-12-03,17:54,6432.00,EUR,1.00,6432.00,372712,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1348694,41,"COBRADO - CIBANCO USD",,7,DianaM,"Cargo por cambio de tarifa Guillermo Gonzalez",0,0,0,2024-11-15,2024-11-15,33619SV9,AriadnaR,2024-12-03,17:56,869.57,USD,0.92,800.00,372712,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1351820,42,"COBRADO - CHASE",,2,DianaM,"Pago final a SKI USA",0,0,0,2024-11-20,2024-11-20,80W66F5A,AriadnaR,2024-11-20,14:22,7500.00,USD,1.00,7500.00,371219,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1355731,43,"COBRADO - CIBANCO MXN",,35,DianaM,"Saldo pendiente",0,0,0,2024-11-25,2024-11-25,X40DP1R7,AriadnaR,2024-12-03,18:07,8438.83,MXN,20.60,173840.00,373588,EFE,,,,,0,1,2025-09-09,SalvadorR,"Se ingresa monedero ",0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1356175,44,,,22,DianaM,"Registro para recibir comisión",0,0,0,2024-11-26,2024-11-26,A7GG8C8Y,SalvadorR,2025-05-16,13:54,15077.20,EUR,1.00,15077.20,377448,4E2,,,"Ya pagado, solo se espera comisión.",,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1356558,45,"COBRADO - CHASE",,43,DianaM,"Pago a proveedor",0,0,0,2024-11-27,2024-11-26,80W66F5A,AriadnaR,2024-11-27,13:37,27745.96,USD,1.00,27745.96,381877,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1357062,46,"COBRADO - CIBANCO MXN",,31,LuciaS,"Diferencia de Venecia",0,0,0,2024-11-26,2024-11-27,X40DP1R7,AriadnaR,2024-12-03,18:05,376.03,MXN,22.15,8329.00,377586,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1358926,47,"COBRADO - CHASE",,44,DianaM,"Pago a proveedor ",0,0,0,2024-11-29,2024-11-29,80W66F5A,AriadnaR,2024-12-02,14:20,30160.00,USD,1.00,30160.00,382236,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1359836,48,"COBRADO - CHASE",,44,DianaM,"Pago a proveedor ",0,0,0,2024-12-02,2024-12-02,80W66F5A,AriadnaR,2024-12-02,14:22,1700.00,USD,1.00,1700.00,382236,HHW,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1361834,49,"COBRADO - WISE EUR",,25,AriadnaR,"Pago de servicios VIP Incoming",0,0,0,2024-10-09,2024-12-03,6L931A9I,AriadnaR,2024-12-03,18:03,3250.00,EUR,1.00,3250.00,370757,HHW,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1362704,50,"COBRADO - CIBANCO MXN",,47,DianaM,"Pago de servicio de hospedaje",0,0,0,2024-12-04,2024-12-04,X40DP1R7,AriadnaR,2024-12-05,12:06,590274.00,MXN,1.00,590274.00,371547,EFE,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1364834,51,"COBRADO - CHASE",,51,DianaM,"Abono al viaje",0,0,0,2024-12-06,2024-12-09,80W66F5A,AriadnaR,2025-02-04,02:21,113.00,USD,1.00,113.00,383549,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1364835,52,"COBRADO - CHASE",,51,DianaM,"Abono al viaje",0,0,0,2024-12-06,2024-12-09,80W66F5A,AriadnaR,2025-02-04,02:22,4887.00,USD,1.00,4887.00,383549,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1365885,53,"COBRADO - STRIPE",,12,DianaM," Transfer y tickets para el castillo de Neuschwanstein",0,0,0,2024-12-12,2024-12-10,80W66F5A,AriadnaR,2024-12-29,23:26,3384.33,USD,1.07,3628.00,370757,0R2,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1366032,54,"COBRADO - CIBANCO MXN",,52,DianaM,"Pago de hospedaje",0,0,0,2024-12-10,2024-12-10,X40DP1R7,AriadnaR,2025-02-04,02:16,13500.00,MXN,20.45,276075.00,379980,EFE,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1366620,55,"COBRADO - CIBANCO MXN",,33,DianaM,"Segundo pago",0,0,0,2024-12-11,2024-12-11,X40DP1R7,AriadnaR,2024-12-29,23:32,4447.01,MXN,20.40,90719.00,378993,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1368180,56,"COBRADO - WISE EUR",,12,DianaM,"Pago de servicios de Marruecos",0,0,0,2024-12-16,2024-12-13,6L931A9I,AriadnaR,2024-12-29,23:23,1970.00,EUR,1.00,1970.00,370757,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1368388,57,"COBRADO - STRIPE",,57,VeronicaN,"PAGO DEPOSITO 25% BARCO",0,0,0,2024-12-13,2024-12-13,80W66F5A,SalvadorR,2025-06-03,12:00,6080.62,USD,1.00,6080.62,384256,0R2,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1368399,58,"COBRADO - STRIPE",,57,VeronicaN,"PAGO DEPOSITO 25% BARCO",0,0,0,2024-12-16,2024-12-13,80W66F5A,SalvadorR,2025-06-03,11:52,9260.66,USD,1.00,9260.66,384256,0R2,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1368410,59,"COBRADO - CHASE",,57,VeronicaN,"PAGO DEPOSITO 25% BARCO",0,0,0,2024-12-13,2024-12-13,80W66F5A,AriadnaR,2025-02-04,02:13,5875.00,USD,1.00,5875.00,384256,HHW,"THE BANK OF NY",,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1369424,60,"COBRADO - CIBANCO MXN",,50,DianaM,"Pago de vuelos",0,0,0,2024-12-13,2024-12-16,X40DP1R7,AriadnaR,2025-02-04,01:18,3989.22,MXN,20.40,81380.00,378596,HHW,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1370025,61,"COBRADO - CIBANCO MXN",,45,DianaM,"Pago de vuelos",0,0,0,2024-12-16,2024-12-16,X40DP1R7,AriadnaR,2025-02-04,01:09,8350.00,MXN,20.40,170340.00,378589,HHW,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1370058,62,"COBRADO - CIBANCO MXN",,56,DianaM,"Abono al viaje",0,0,0,2024-12-16,2024-12-16,X40DP1R7,AriadnaR,2025-02-04,01:27,34313.73,MXN,20.40,700000.00,373588,EFE,,,,,0,1,2025-09-09,SalvadorR,"SE CREA MONEDERO ELECTRONICO",0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1371581,63,"COBRADO - CHASE",,51,DianaM,"Pago de servicios",0,0,0,2024-12-18,2024-12-18,80W66F5A,AriadnaR,2025-02-04,02:20,30000.00,USD,1.00,30000.00,383549,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1371823,64,"COBRADO - CIBANCO MXN",,56,DianaM,"Segundo abono al viaje",0,0,0,2024-12-18,2024-12-18,X40DP1R7,AriadnaR,2025-02-04,01:26,39215.69,MXN,20.40,800000.00,373588,EFE,,,,,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1372348,65,"COBRADO - CHASE",,71,MinervaH,"ANTICIPO DE VIAJE",0,0,0,2024-12-12,2024-12-19,80W66F5A,AriadnaR,2024-12-19,11:13,30762.00,USD,1.00,30762.00,384895,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1372371,66,"COBRADO - CHASE",,70,MinervaH,"ANTICIPO DE VIAJE",0,0,0,2024-12-17,2024-12-19,80W66F5A,AriadnaR,2025-01-21,09:46,4500.00,USD,1.00,4500.00,384877,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1372528,67,"COBRADO - CIBANCO MXN",,58,DianaM,"Pago a servicios",0,0,0,2024-12-19,2024-12-19,X40DP1R7,AriadnaR,2025-02-04,02:10,20930.88,MXN,20.69,433060.01,384399,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1373060,68,"COBRADO - STRIPE",,82,VeronicaN,"30% Deposito Angamara",0,0,0,2024-12-24,2024-12-19,80W66F5A,AriadnaR,2025-06-09,19:08,19480.00,USD,1.00,19480.00,385137,8W0,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1374683,69,"COBRADO - STRIPE",,84,DianaM,"Pago de fee de emisión",0,0,0,2024-12-24,2024-12-23,80W66F5A,AriadnaR,2025-06-23,20:17,100.00,USD,1.00,100.00,385547,8W0,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1375053,70,"COBRADO - STRIPE",,82,VeronicaN,"30% total viaje",0,0,0,2024-12-26,2024-12-24,80W66F5A,AriadnaR,2025-06-09,19:16,79774.43,USD,1.00,79774.43,385137,8W0,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1378997,71,"COBRADO - CIBANCO MXN",,87,VeronicaN,"PAGO TRAILS OF INDOCHINA TOTAL",0,0,0,2025-01-02,2025-01-03,X40DP1R7,AriadnaR,2025-01-21,09:17,4014.82,MXN,20.90,83909.70,386562,HHW,CITIBANAMEX,**530,"PAGO EN MXN CON TC 20.90 = 4,014.82USD",,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1380650,72,"COBRADO - CHASE",,86,VeronicaN,"30% total viaje",0,0,0,2025-01-03,2025-01-06,80W66F5A,AriadnaR,2025-01-06,16:22,99669.00,USD,1.00,99669.00,386448,HHW,,,"PAGO 30% AFRICA ",,0,0,0000-00-00,,,0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1380751,73,"COBRADO - CIBANCO MXN",,33,DianaM,"Tercer pago",0,0,0,2025-01-06,2025-01-06,X40DP1R7,AriadnaR,2025-01-21,09:14,20000.00,MXN,20.60,412000.00,378993,HHW,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1382730,74,"COBRADO - STRIPE",,58,DianaM,"Pago de 2 quad bike tour for 2 people",0,0,0,2025-01-10,2025-01-08,80W66F5A,AriadnaR,2025-06-09,19:41,150.00,USD,1.00,150.00,384399,8W0,,,,,0,0,0000-00-00,,,0,1,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
1382741,75,,,92,DianaM,"Pago de vuelos",0,0,0,2025-01-08,2025-01-08,,,0000-00-00,,233520.00,MXN,1.00,233520.00,375699,HHW,,,,,0,1,2025-01-09,AriadnaR,"Registro duplicado con la Reserva 14 - AR",0,0,0,0.00,0,0,0,0,0000-00-00,,0,0,0000-00-00,,,,,0,
